VMM register dump (vmmdump)

CHIP ID         : VMM5310
CHIP family     : Panamera
Firmware version: 5.04.135
Branch OUI      : 90:cc:24  (Synaptics)
Branch dev id   : 'SYNAS\x10'
HW revision     : 0x10
RC capability   : 0x94  (remote-control supported)
Board ID        : 0x0002 (2)
Customer ID     : 0xf51b (62747)

Register data dump...
200000h: 0x85F2439B (-2047720549)
200004h: 0x77800030 (2004877360)
200008h: 0x050E00A1 (84803745)
20000Ch: 0x041B0082 (68878466)
200010h: 0x048700A2 (75956386)
200018h: 0x00000900 (2304)
20001Ch: 0x0000C805 (51205)
200020h: 0xFEEDB001 (-17977343)
200024h: 0x00310248 (3211848)
200028h: 0x00000A00 (2560)
20002Ch: 0x82810103 (-2105474813)
200040h: 0x00020305 (131845)
200044h: 0x001B000D (1769485)
200048h: 0x00030008 (196616)
20004Ch: 0x0300003F (50331711)
200050h: 0x00002339 (9017)
200054h: 0x00000001 (1)
200058h: 0x00000000 (0)
2000C0h: 0x00000187 (391)
2000C4h: 0x0001BFE0 (114656)
2000C8h: 0x00058400 (361472)
2000CCh: 0x00007BFF (31743)
2000D0h: 0x00000000 (0)
2000D4h: 0x00000000 (0)
2000D8h: 0x00000030 (48)
2000DCh: 0x00000000 (0)
2000E0h: 0x00030041 (196673)
2000E4h: 0x00000000 (0)
2000F0h: 0x00FF3B7C (16726908)
2000F4h: 0x0000FFFF (65535)
2000F8h: 0x03FB0000 (66781184)
2000FCh: 0x00000000 (0)
200100h: 0x80000004 (-2147483644)
200104h: 0x01005100 (16797952)
200108h: 0x00000004 (4)
20010Ch: 0x2500000F (620757007)
200110h: 0x00000000 (0)
200114h: 0x00000000 (0)
200118h: 0x00000000 (0)
20011Ch: 0x00000000 (0)
200120h: 0x00000000 (0)
200124h: 0x00000000 (0)
200128h: 0x00000000 (0)
20012Ch: 0x00000000 (0)
200130h: 0x00000000 (0)
200134h: 0x00000000 (0)
200138h: 0x00000000 (0)
20013Ch: 0x00000000 (0)
200140h: 0x00000000 (0)
200144h: 0x00000000 (0)
200148h: 0x00000000 (0)
20014Ch: 0x00000000 (0)
200150h: 0x00000001 (1)
200154h: 0x00000000 (0)
200158h: 0x00000000 (0)
20015Ch: 0x00000000 (0)
